threshold,stop_loss_pct,target_price,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.7,0.15,0.95,-164.4628,0.0,0.0,-3.4579,0.0035,2
0.75,0.15,0.95,-177.7623,0.0,0.0,-1.6392,0.0017,2
0.75,0.15,0.95,-177.7623,0.0,0.0,-3.2785,0.0034,2
0.65,0.2,0.95,-198.9995,0.0,0.0,-2.264,0.0023,2
0.65,0.2,0.95,-198.9995,0.0,0.0,-4.5279,0.0046,2
0.78,0.2,0.95,-279.0468,0.0,0.0,-2.1672,0.0022,2
0.78,0.2,0.95,-279.0468,0.0,0.0,-4.3344,0.0044,2
0.75,0.2,0.95,-754.6847,0.0,0.0,-2.3133,0.0024,2
0.75,0.2,0.95,-754.6847,0.0,0.0,-4.6266,0.0047,2
0.7,0.2,0.95,-993.2715,0.0,0.0,-2.2508,0.0023,2
0.7,0.2,0.95,-993.2715,0.0,0.0,-4.5016,0.0046,2
0.7,0.2,0.95,-1095.7545,0.0,0.0,-2.2446,0.0023,2
0.7,0.2,0.95,-1095.7545,0.0,0.0,-4.4891,0.0046,2
