ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_pusd,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
30,-2.5,0.0,0.08,45,5,67,0,67,-38.20748075468031,0.0,0.0,-3.321765512425309,0.042885843327780095,-0.5702609067862733,-0.13333333333333347,-0.9259259259259258
30,-2.5,0.0,0.08,45,10,67,0,67,-76.41496150936062,0.0,0.0,-3.321765512425309,0.08577168665555927,-1.1405218135725466,-0.26666666666666694,-1.8518518518518516
30,-2.5,0.0,0.08,60,5,67,0,67,-38.20748075468031,0.0,0.0,-3.321765512425309,0.042885843327780095,-0.5702609067862733,-0.13333333333333347,-0.9259259259259258
30,-2.5,0.0,0.08,60,10,67,0,67,-76.41496150936062,0.0,0.0,-3.321765512425309,0.08577168665555927,-1.1405218135725466,-0.26666666666666694,-1.8518518518518516
20,-2.5,0.0,0.08,45,5,94,0,94,-52.623125756017295,0.0,0.0,-3.3368593060552505,0.05730148832911777,-0.5598204867661415,-0.06666666666666674,-0.9259259259259258
20,-2.5,0.0,0.08,45,10,94,0,94,-105.24625151203459,0.0,0.0,-3.3368593060552505,0.11460297665823294,-1.119640973532283,-0.13333333333333347,-1.8518518518518516
20,-2.5,0.0,0.08,60,5,94,0,94,-52.623125756017295,0.0,0.0,-3.3368593060552505,0.05730148832911777,-0.5598204867661415,-0.06666666666666674,-0.9259259259259258
20,-2.5,0.0,0.08,60,10,94,0,94,-105.24625151203459,0.0,0.0,-3.3368593060552505,0.11460297665823294,-1.119640973532283,-0.13333333333333347,-1.8518518518518516
20,-2.5,0.5,0.08,45,5,88,0,88,-48.0415001065536,0.0,0.0,-3.340957078118109,0.052719862679654055,-0.5459261375744727,-0.06666666666666674,-0.9259259259259258
20,-2.5,0.5,0.08,45,10,88,0,88,-96.0830002131072,0.0,0.0,-3.340957078118109,0.10543972535930572,-1.0918522751489455,-0.13333333333333347,-1.8518518518518516
20,-2.5,0.5,0.08,60,5,88,0,88,-48.0415001065536,0.0,0.0,-3.340957078118109,0.052719862679654055,-0.5459261375744727,-0.06666666666666674,-0.9259259259259258
20,-2.5,0.5,0.08,60,10,88,0,88,-96.0830002131072,0.0,0.0,-3.340957078118109,0.10543972535930572,-1.0918522751489455,-0.13333333333333347,-1.8518518518518516
20,-1.5,0.5,0.08,45,5,157,0,157,-93.71354306882075,0.0,0.0,-3.3413865950640975,0.09839190564192142,-0.5969015482090494,-0.06666666666666674,-1.1842105263157898
20,-1.5,0.5,0.08,45,10,157,0,157,-187.4270861376415,0.0,0.0,-3.3413865950640975,0.19678381128384012,-1.1938030964180988,-0.13333333333333347,-2.3684210526315796
20,-1.5,0.5,0.08,60,5,157,0,157,-93.71354306882075,0.0,0.0,-3.3413865950640975,0.09839190564192142,-0.5969015482090494,-0.06666666666666674,-1.1842105263157898
20,-1.5,0.5,0.08,60,10,157,0,157,-187.4270861376415,0.0,0.0,-3.3413865950640975,0.19678381128384012,-1.1938030964180988,-0.13333333333333347,-2.3684210526315796
20,-2.5,-0.5,0.08,45,5,108,0,108,-60.7448020400328,0.0,0.0,-3.34605132395347,0.06542316461313329,-0.5624518707410444,-0.1000000000000001,-0.9259259259259258
20,-2.5,-0.5,0.08,45,10,108,0,108,-121.4896040800656,0.0,0.0,-3.34605132395347,0.13084632922626419,-1.1249037414820888,-0.2000000000000002,-1.8518518518518516
20,-2.5,-0.5,0.08,60,5,108,0,108,-60.7448020400328,0.0,0.0,-3.34605132395347,0.06542316461313329,-0.5624518707410444,-0.1000000000000001,-0.9259259259259258
20,-2.5,-0.5,0.08,60,10,108,0,108,-121.4896040800656,0.0,0.0,-3.34605132395347,0.13084632922626419,-1.1249037414820888,-0.2000000000000002,-1.8518518518518516
20,-2.0,0.0,0.08,45,5,132,0,132,-80.47305190813883,0.0,0.0,-3.3471257111235695,0.0851514144812395,-0.6096443326374154,-0.06666666666666674,-1.143617021276596
20,-2.0,0.0,0.08,45,10,132,0,132,-160.94610381627766,0.0,0.0,-3.3471257111235695,0.17030282896247603,-1.2192886652748307,-0.13333333333333347,-2.287234042553192
20,-2.0,0.0,0.08,60,5,132,0,132,-80.47305190813883,0.0,0.0,-3.3471257111235695,0.0851514144812395,-0.6096443326374154,-0.06666666666666674,-1.143617021276596
20,-2.0,0.0,0.08,60,10,132,0,132,-160.94610381627766,0.0,0.0,-3.3471257111235695,0.17030282896247603,-1.2192886652748307,-0.13333333333333347,-2.287234042553192
30,-2.0,0.0,0.1,45,5,87,0,87,-50.05823963540064,0.0,0.0,-3.347167676141601,0.05473660220850047,-0.57538206477472,-0.13333333333333347,-1.1842105263157898
30,-2.0,0.0,0.1,45,10,87,0,87,-100.11647927080128,0.0,0.0,-3.347167676141601,0.1094732044169998,-1.15076412954944,-0.26666666666666694,-2.3684210526315796
30,-2.0,0.0,0.1,60,5,87,0,87,-50.05823963540064,0.0,0.0,-3.347167676141601,0.05473660220850047,-0.57538206477472,-0.13333333333333347,-1.1842105263157898
30,-2.0,0.0,0.1,60,10,87,0,87,-100.11647927080128,0.0,0.0,-3.347167676141601,0.1094732044169998,-1.15076412954944,-0.26666666666666694,-2.3684210526315796
30,-2.0,0.0,0.15,45,5,87,0,87,-50.05823963540064,0.0,0.0,-3.347167676141601,0.05473660220850047,-0.57538206477472,-0.13333333333333347,-1.1842105263157898
30,-2.0,0.0,0.15,45,10,87,0,87,-100.11647927080128,0.0,0.0,-3.347167676141601,0.1094732044169998,-1.15076412954944,-0.26666666666666694,-2.3684210526315796
30,-2.0,0.0,0.15,60,5,87,0,87,-50.05823963540064,0.0,0.0,-3.347167676141601,0.05473660220850047,-0.57538206477472,-0.13333333333333347,-1.1842105263157898
30,-2.0,0.0,0.15,60,10,87,0,87,-100.11647927080128,0.0,0.0,-3.347167676141601,0.1094732044169998,-1.15076412954944,-0.26666666666666694,-2.3684210526315796
30,-2.0,0.0,0.08,45,5,102,0,102,-62.04129638229728,0.0,0.0,-3.3666883907867975,0.06671965895539733,-0.6082480037480126,-0.13333333333333347,-1.1842105263157898
30,-2.0,0.0,0.08,45,10,102,0,102,-124.08259276459457,0.0,0.0,-3.3666883907867975,0.13343931791079308,-1.2164960074960252,-0.26666666666666694,-2.3684210526315796
30,-2.0,0.0,0.08,60,5,102,0,102,-62.04129638229728,0.0,0.0,-3.3666883907867975,0.06671965895539733,-0.6082480037480126,-0.13333333333333347,-1.1842105263157898
30,-2.0,0.0,0.08,60,10,102,0,102,-124.08259276459457,0.0,0.0,-3.3666883907867975,0.13343931791079308,-1.2164960074960252,-0.26666666666666694,-2.3684210526315796
